hhid,upm,nvivi,nhoga,dpto,area,año,fex_2022,facpob,dominio,ipcm,lnipcm,tipo_empleo,tipo_vivienda,tipo_pared,tipo_piso,tipo_techo,tipo_agua_proveedor,tipo_agua_vivienda,tipo_agua_proveedor_beber,tipo_agua_fuente_beber,tipo_banho_desague,tipo_combustible,tipo_basura,tipo_vivienda_propiedad,tipo_hogar,tiene_agua_24hrs,tiene_luz_electrica,tiene_linea_fija,tiene_celular,tiene_banho,tiene_computadora,tiene_tableta,tiene_internet,tiene_internet_cablewifi,tiene_internet_modem,tiene_radio,tiene_televisor,tiene_heladera,tiene_cocina_gas,tiene_cocina_elec,tiene_lavarropas,tiene_videoDVD,tiene_termocalefon,tiene_acondicionador_aire,tiene_antena_parabolica,tiene_tv_cable,tiene_horno_microondas,tiene_horno_electrico,tiene_auto_camion,tiene_motocicleta,tiene_seguro,jefe,jefe_edad,jefe_anios_estudio,jefe_idioma,jefe_tipo_empleo,jefe_estado_civil,jefe_tiene_seguro,nro_dormitorios,nro_trabajo,nro_5menos,nro_6a14,nro_tiene_seguro,totpers,linea_pobreza_total,linea_pobreza_extrema,pobrezai,pobnopoi,pob_total,pob_ext,ipcm_median
10022_105_1,10022,105,1,5,6,2022,243.85303,1950.8242,6,690377.7939161933,13.444994,2,1,4,5,4,3,2,3,2,2,1,1,1,4,1,1,0,1,1,0,0,0,,,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,.125,49,3,1,2,1,0,3,3,2,2,0,8,589563,308878,3,0,0,0,1349961.5
10022_112_1,10022,112,1,5,6,2022,243.85303,1219.2651,6,1083392.52522159,13.895608,2.6666667,1,3,4,3,6,2,6,2,3,4,1,1,4,,1,0,1,1,0,0,0,,,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,.2,66,2,1,9,1,0,4,3,0,1,0,5,589563,308878,3,0,0,0,1349961.5
10022_15_1,10022,15,1,5,6,2022,243.85303,975.41211,6,661009.5161160325,13.401524,2,1,4,5,4,3,2,3,2,2,4,1,1,2,1,1,0,1,1,0,0,0,,,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,.25,39,5,1,2,1,0,2,1,0,2,0,4,589563,308878,3,0,0,0,1349961.5
10022_18_1,10022,18,1,5,6,2022,243.85303,731.55908,6,842751.9793177507,13.644428,4,1,4,4,3,3,2,3,2,3,2,1,6,2,1,1,0,1,1,0,0,0,,,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,.33333334,35,10,2,3,1,0,2,2,0,1,0,3,589563,308878,3,0,0,0,1349961.5
10022_19_1,10022,19,1,5,6,2022,243.85303,731.55908,6,1056974.380607032,13.870921,2,1,4,5,4,3,2,3,2,2,4,6,1,2,1,1,0,1,1,0,0,0,,,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,.33333334,25,10,2,2,1,0,2,1,1,0,0,3,589563,308878,3,0,0,0,1349961.5
10022_24_1,10022,24,1,5,6,2022,243.85303,1219.2651,6,584748.6896051543,13.278937,2,1,4,4,4,3,2,3,2,2,4,1,1,2,1,1,0,0,1,0,0,0,,,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,.2,31,9,2,2,1,0,1,1,2,1,0,5,589563,308878,2,1,1,0,1349961.5
10022_25_1,10022,25,1,5,6,2022,243.85303,975.41211,6,513417.7314665568,13.148845,4,1,4,4,4,3,2,3,2,2,4,1,1,2,1,1,0,1,1,0,0,0,,,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,.25,36,11,1,4,1,0,2,1,0,2,0,4,589563,308878,2,1,1,0,1349961.5
10022_40_1,10022,40,1,5,6,2022,243.85303,487.70605,6,1977437.550362601,14.497313,2,1,4,5,4,3,2,3,2,2,4,1,4,2,1,1,0,1,1,0,0,0,,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,.5,20,9,1,2,2,0,2,1,0,0,0,2,589563,308878,3,0,0,0,1349961.5
10022_49_1,10022,49,1,5,6,2022,243.85303,731.55908,6,699662.401020679,13.458353,2,1,4,5,4,6,2,6,2,,4,4,1,2,,1,0,1,0,0,0,0,,,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,.33333334,28,12,1,2,2,0,1,1,0,1,0,3,589563,308878,3,0,0,0,1349961.5
10022_55_1,10022,55,1,5,6,2022,243.85303,975.41211,6,140176.3938356158,11.850657,4,1,3,4,4,6,1,6,1,7,4,1,1,4,,1,0,1,1,0,0,0,,,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,.25,57,5,1,4,1,0,3,1,2,0,0,4,589563,308878,1,1,1,1,1349961.5
10022_56_1,10022,56,1,5,6,2022,243.85303,731.55908,6,174673.6502820298,12.070675,4,1,4,5,4,6,2,6,2,2,4,1,1,2,,1,0,1,1,0,0,0,,,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,.33333334,27,6,2,4,1,0,1,1,1,0,0,3,589563,308878,1,1,1,1,1349961.5
10022_62_1,10022,62,1,5,6,2022,243.85303,731.55908,6,818857.9422508691,13.615665,2,1,4,5,1,6,2,6,2,2,4,1,1,4,,1,0,1,1,0,0,0,,,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,.33333334,54,5,1,2,1,0,2,1,0,1,0,3,589563,308878,3,0,0,0,1349961.5
10050_10_1,10050,10,1,5,6,2022,83.054222,332.21689,6,19139832.53514376,16.767282,2,1,4,5,4,3,2,3,2,3,2,4,1,2,0,1,0,1,1,1,0,0,,,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,.75,.25,41,12,3,3,1,0,4,2,0,2,3,4,589563,308878,3,0,0,0,1349961.5
10050_12_1,10050,12,1,5,6,2022,83.054222,332.21689,6,514162.0079872201,13.150293,4,1,3,5,3,7,4,6,4,6,4,1,1,4,,1,0,0,1,0,0,0,,,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,.25,47,3,1,4,1,0,2,1,0,2,0,4,589563,308878,2,1,1,0,1349961.5
10050_13_1,10050,13,1,5,6,2022,83.054222,415.27112,6,466026.6242811498,13.051998,3.6666667,1,4,4,4,7,4,6,4,7,4,1,1,2,,1,0,1,1,0,0,0,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,.2,46,6,1,2,1,0,2,3,0,1,0,5,589563,308878,2,1,1,0,1349961.5
10050_19_1,10050,19,1,5,6,2022,83.054222,498.32535,6,94890.39776357822,11.460478,4.3333335,1,4,1,3,7,4,7,4,7,1,1,1,4,,1,0,1,1,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.16666667,59,2,1,4,1,0,2,2,1,1,0,6,589563,308878,1,1,1,1,1349961.5
10050_1_1,10050,1,1,5,6,2022,83.054222,249.16267,6,980031.9488817885,13.795341,3,1,4,5,4,6,2,6,2,2,2,1,1,2,,1,0,1,1,1,0,0,,,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,.33333334,59,5,1,3,1,0,3,3,0,0,0,3,589563,308878,3,0,0,0,1349961.5
10050_20_1,10050,20,1,5,6,2022,83.054222,332.21689,6,1073849.590654951,13.886761,2.6666667,1,4,5,3,6,2,6,2,7,4,1,1,2,,1,0,1,1,0,0,0,,,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,.25,58,2,1,2,1,0,3,3,0,0,0,4,589563,308878,3,0,0,0,1349961.5
10050_24_1,10050,24,1,5,6,2022,83.054222,581.37958,6,918670.565495207,13.730683,3.4000001,1,4,4,4,3,2,3,2,6,1,1,1,2,1,1,0,1,1,0,0,0,,,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,.14285715,55,4,1,4,1,0,3,4,0,3,0,7,589563,308878,3,0,0,0,1349961.5
10050_26_1,10050,26,1,5,6,2022,83.054222,83.054222,6,1568051.118210861,14.265344,,1,3,4,4,7,4,6,4,3,2,1,1,1,,1,0,1,1,0,0,0,,,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,88,2,1,9,4,0,1,0,0,0,0,1,589563,308878,3,0,0,0,1349961.5
10050_27_1,10050,27,1,5,6,2022,83.054222,166.10844,6,2283106.928913737,14.641047,4,1,3,3,4,3,2,3,2,2,1,1,1,3,1,1,0,1,1,0,0,0,,,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,.5,66,1,1,4,4,0,2,1,0,0,0,2,589563,308878,3,0,0,0,1349961.5
10050_30_1,10050,30,1,5,6,2022,83.054222,166.10844,6,666013.3785942488,13.409065,4,1,4,4,4,3,2,3,2,2,3,1,1,2,1,1,0,1,1,0,0,0,,,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,.5,24,12,2,4,2,0,1,1,0,0,0,2,589563,308878,3,0,0,0,1349961.5
10082_10_1,10082,10,1,6,1,2022,102.89198,102.89198,1,5200000,15.46417,1,1,4,5,1,2,2,2,2,3,4,2,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,32,16,1,1,5,1,2,1,0,0,1,1,816163,338225,3,0,0,0,1349961.5
10082_13_1,10082,13,1,6,1,2022,102.89198,308.67593,1,1566666.666666667,14.264461,3.5,1,4,4,1,2,2,2,2,2,4,2,1,3,1,1,0,1,1,1,0,0,,,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,.66666669,.33333334,40,15,1,1,5,1,2,2,0,1,2,3,816163,338225,3,0,0,0,1349961.5
10082_16_1,10082,16,1,6,1,2022,102.89198,411.5679,1,1700000,14.346139,1,1,4,5,4,2,2,2,2,2,4,2,1,4,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,.75,.25,40,16,3,1,2,1,2,1,1,0,3,4,816163,338225,3,0,0,0,1349961.5
10082_17_1,10082,17,1,6,1,2022,102.89198,308.67593,1,3525486.333333333,15.075529,1,1,4,5,4,2,2,2,2,3,2,2,1,2,1,1,0,1,1,1,0,0,,,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,.33333334,39,15,3,1,1,1,2,2,0,1,3,3,816163,338225,3,0,0,0,1349961.5
